iata_code,name,municipality,latitude_deg,longitude_deg,iso_country
OCA,Ocean Reef Club Airport,Key Largo,25.325399,-80.274803,US
WKK,Aleknagik / New Airport,Aleknagik,59.2826004028,-158.617996216,US
BBQ,Burton-Nibbs International Airport,Codrington,17.621194,-61.798347,AG
HIR,Honiara International Airport,Honiara,-9.428,160.054993,SB
MUA,Munda Airport,Munda,-8.32797,157.263,SB
INU,Nauru International Airport,Yaren,-0.547893,166.919525,NR
WFR,(Duplicate)Wolf's Fang Runway,Queen Maud Island,-71.5264,8.799459,AQ
AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,38.748317,105.58416,CN
VMU,Baimuru Airport,Baimuru,-7.496955,144.821756,PG
BUA,Buka Airport,Buka Island,-5.422299,154.672698,PG
OPU,Balimo Airport,Balimo,-8.05000019073,142.932998657,PG
CMU,Chimbu Airport,Kundiawa,-6.024290084838867,144.9709930419922,PG
DAU,Daru Airport,Daru,-9.08676,143.207993,PG
GKA,Goroka Airport,Goronka,-6.081689834590001,145.391998291,PG
GUR,Gurney Airport,Gurney,-10.3114995956,150.333999634,PG
PNP,Girua Airport,Popondetta,-8.80453968048,148.309005737,PG
HKN,Hoskins Airport,Kimbe,-5.463846,150.407327,PG
KMA,Kerema Airport,Kerema,-7.96361017227,145.770996094,PG
KVG,Kavieng Airport,Kavieng,-2.57940006256,150.807998657,PG
MAG,Madang Airport,Madang,-5.20707988739,145.789001465,PG
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,-5.828212,144.299412,PG
MDU,Mendi Airport,Mendi,-6.14774,143.656998,PG
MAS,Momote Airport,Manus Island,-2.06189,147.423996,PG
LAE,Nadzab Tomodachi International Airport,Lae,-6.567995,146.726544,PG
POM,Port Moresby Jacksons International Airport,Port Moresby,-9.44338035583496,147.22000122070312,PG
RAB,Tokua Airport,Kokopo,-4.34046,152.380005,PG
VAI,Vanimo Airport,Vanimo,-2.6926,141.3028,PG
WBM,Wapenamanda Airport,Wapenamanda,-5.635293,143.892231,PG
WWK,Wewak International Airport,Wewak,-3.58383011818,143.669006348,PG
ZXT,Zabrat Airport,Zabrat,40.494884,49.977065,AZ
BCW,Benguera Island Airport,Benguera Island,-21.8533,35.438301,MZ
JAM,Bezmer Air Base,Bezmer,42.454899,26.3522,BG
JEG,Aasiaat Airport,Aasiaat,68.721802,-52.784698,GL
UAK,Narsarsuaq International Airport,Narsarsuaq,61.1605,-45.425999,GL
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,70.743103,-22.650499,GL
GOH,Nuuk International Airport,Nuuk,64.191066,-51.67914,GL
JAV,Ilulissat Airport,Ilulissat,69.243202,-51.057098,GL
KUS,Kulusuk Airport,Kulusuk,65.573601,-37.1236,GL
NAQ,Qaanaaq Airport,Qaanaaq,77.488602,-69.388702,GL
SFJ,Kangerlussuaq International Airport,Kangerlussuaq,67.010446,-50.715294,GL
JHS,Sisimiut Airport,Sisimiut,66.951302,-53.729301,GL
THU,Pituffik Space Base,Pituffik,76.53063,-68.700541,GL
AEY,Akureyri International Airport,Akureyri,65.656573,-18.072018,IS
EGS,Egilsstaðir Airport,Egilsstaðir,65.2833023071289,-14.401399612426758,IS
GRY,Grímsey Airport,Grímsey/Sandvík,66.5458,-18.0173,IS
HFN,Hornafjörður Airport,Höfn,64.295601,-15.2272,IS
HZK,Húsavík Airport,Húsavík,65.952301,-17.426001,IS
IFJ,Ísafjörður Airport,Ísafjörður,66.058098,-23.1353,IS
KEF,Keflavik International Airport,Reykjavík,63.985001,-22.6056,IS
OLI,Rif Airport,Rif,64.9114,-23.823099,IS
RKV,Reykjavík Domestic Airport,Reykjavík,64.128732,-21.93759,IS
SIJ,Siglufjörður Airport,Siglufjörður,66.137847,-18.908157,IS
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,63.42430114746094,-20.27890014648437,IS
PRN,Priština Adem Jashari International Airport,Prishtina,42.5728,21.035801,XK
VDC,Glauber de Andrade Rocha Airport,Vitória da Conquista,-14.907885,-40.914804,BR
BTZ,Betong International Airport,Betong,5.79,101.15,TH
TXC,Orsha Airport - Balbasovo Air Base,Orsha,54.439999,30.2967,BY
CUK,Caye Caulker Airport,Caye Caulker,17.735015,-88.032862,BZ
CYC,Caye Chapel Airport,Caye Chapel,17.683792,-88.044985,BZ
CZH,Corozal Airport,Corozal,18.3822,-88.411903,BZ
DGA,Dangriga Airport,Dangriga,16.98251,-88.230988,BZ
SJX,Sartaneja Airport,Sartaneja,18.3561,-88.130798,BZ
SPR,John Greif II Airport,San Pedro,17.9139,-87.9711,BZ
TZA,Sir Barry Bowen Municipal Airport,Belize City,17.517239,-88.195775,BZ
BZB,Bazaruto Island Airport,Bazaruto Island,-21.5411,35.4729,MZ
YAA,Anahim Lake Airport,Anahim Lake,52.451501,-125.303776,CA
XQU,Qualicum Beach Airport,Qualicum Beach,49.337456,-124.393086,CA
YZA,Cache Creek-Ashcroft Regional Airport,Cache Creek,50.775258,-121.321314,CA
ZEL,Bella Bella (Campbell Island) Airport,Bella Bella,52.185001,-128.156994,CA
HSC,Shaoguan Danxia Airport,Shaoguan,24.9786,113.420998,CN
JGS,Jinggangshan Airport,Ji'an,26.856899,114.737,CN
JNH,Jiaxing Airport / Jiaxing Air Base,"Xiuzhou, Hangzhou",30.705535,120.679779,CN
WHN,Wuhan Hannan Municipal Airport,Wuhan (Hannan),30.25521,114.062805,CN
NAY,Beijing Nanjiao Military Airport,Beijing,39.48595,116.37236,CN
DDR,Rikaze Dingri Airport,Xigazê (Dingri),28.604567,86.798,CN
HQL,Tashikuergan Hongqilafu Airport,Tashikuergan,37.661333,75.288877,CN
APJ,Ali Pulan Airport,Burang Town,30.397898,81.13317,CN
ZAT,Zhaotong Zhaoyang Airport （Not fully opened),Zhaotong,27.205843,103.691511,CN
BFY,Bengbu Tenghu Airport (U.C.),Bengbu,33.165808,117.057295,CN
YAG,Fort Frances Municipal Airport,Fort Frances,48.655749,-93.44349,CA
YAH,La Grande-4 Airport,La Grande-4,53.754699707,-73.6753005981,CA
YAM,Sault Ste Marie Airport,Sault Ste Marie,46.483216,-84.508467,CA
XKS,Kasabonika Airport,Kasabonika,53.52470016479492,-88.6427993774414,CA
YAY,St. Anthony Airport,St. Anthony,51.391909,-56.08321,CA
YAZ,Tofino / Long Beach Airport,Tofino,49.079833,-125.775583,CA
YBC,Baie-Comeau Airport,Baie-Comeau,49.1325,-68.204399,CA
QBC,Bella Coola Airport,Bella Coola,52.387501,-126.596001,CA
YBY,Bonnyville Airport,Bonnyville,54.304199,-110.744003,CA
YBG,Saguenay-Bagotville Airport,Saguenay,48.330123,-70.992012,CA
YBK,Baker Lake Airport,Baker Lake,64.29889678960001,-96.077796936,CA
YBL,Campbell River Airport,Campbell River,49.950802,-125.271004,CA
